ROY_WITH_MESS;Royal Marriages with: \n;Mariages royaux avec : \n;Unsere Staatsehen sind mit.\n;;Matrimonios reales con: \n;;;;;;;;;x
HEADER_MISSION;Missions & Decisions;Missions et décisions;Missionen&Entscheidungen;;Misiones y decisiones;;;;;;;;;x
EVTNAME9200;Wealthy Neighbours;Riches voisins;Reiche Nachbarn;;Vecinos opulentos;;;;;;;;;x
EVTDESC9200;Rumours have reached $MONARCHTITLE$ $MONARCH$ about riches beyond the $COUNTRY_ADJ$ borders. Factions within $COUNTRY$ have been arguing that certain cities should rightfully belong to us. Or at least be sacked..;$MONARCHTITLE$ $MONARCH$ a eu vent de l’existence de richesses par-delà les frontières $COUNTRY_ADJ$. En $COUNTRY$, des factions estiment que certaines villes nous reviennent de droit. Ou du moins qu’elles devraient être mises à sac.;Gerüchte erreichten $MONARCHTITLE$ $MONARCH$ , die von Reichtümern jenseits der Grenzen von $COUNTRY_ADJ$ sprechen. Faktionen in $COUNTRY$ meinen, dass einige der Städte dort rechtmäßig unser sind, oder sie zumindest geplündert werden sollten…;;Han llegado rumores a $MONARCHTITLE$ $MONARCH$ sobre las riquezas más allá de la frontera de $COUNTRY_ADJ$. Algunas facciones dentro de $COUNTRY$ afirman que ciertas ciudades deberían ser nuestras por derecho. O al menos, saqueadas…;;;;;;;;;x
EVTOPTA9200;Its ripe for taking.;Il est temps de s’en emparer.;Zeit, es zu holen.;;Lista para saquear.;;;;;;;;;x
EVTNAME9201;Weaker Neighbours;Voisins plus fragiles;Schwächere Nachbarn;;Vecinos más débiles;;;;;;;;;x
EVTDESC9201;Smaller realms should be ruled by $COUNTRY_ADJ$. We definitely need to expand the size of $COUNTRY$.;Les petits royaumes devraient être dirigés par les $COUNTRY_ADJ$. Nous devons impérativement agrandir $COUNTRY$.;Kleinere Reiche sollten von $COUNTRY_ADJ$ beherrscht werden. Wir müssen die Größe von $COUNTRY$ erweitern.;;Los reinos más pequeños deberían ser gobernados por $COUNTRY_ADJ$. Necesitamos sin duda aumentar el tamaño de $COUNTRY$.;;;;;;;;;x
EVTOPTA9201;Crush them!;Écrasez-les !;Vernichtet sie!;;¡Aplástalos!;;;;;;;;;x
EVTNAME9202;$MONARCHTITLE$ $MONARCH$ shows weakness.;$MONARCHTITLE$ $MONARCH$ montre des signes de faiblesse.;$MONARCHTITLE$ $MONARCH$ zeigt Schwäche.;;$MONARCHTITLE$ $MONARCH$ muestra debilidad.;;;;;;;;;x
EVTDESC9202;We have been way too long at peace, and that means that we are growing decadent. This is not the $COUNTRY_ADJ$ way, and some individuals have started to proclaim themselves are the new $MONARCHTITLE$.;Nous sommes en paix depuis bien trop longtemps, ce qui ne fait qu’accroître notre décadence. Ce n’est pas digne des $COUNTRY_ADJ$ et certains commencent à revendiquer le titre de $MONARCHTITLE$.;Wir waren zu lange im Frieden, und dadurch werden wir immer dekadenter. Dies ist nicht der Weg von $COUNTRY_ADJ$ , und einige Individuen haben begonnen, sich selbst zu den neuen $MONARCHTITLE$ auszurufen.;;Hemos estado en paz demasiado tiempo, lo cual significa que nos volvemos decadentes. En $COUNTRY_ADJ$ no somos así, y algunos individuos empiezan a proclamarse los nuevos $MONARCHTITLE$.;;;;;;;;;x
EVTOPTA9202;Its time to show strength.;Il est temps de nous imposer.;Es ist Zeit, Stärke zu zeigen.;;Hora de mostrar fuerza.;;;;;;;;;x
EVTNAME9203;$DYNASTY$ is a house of peace.;La maison $DYNASTY$ est une maison de paix.;$DYNASTY$ ist ein friedliches Haus.;;$DYNASTY$ es una casa pacífica.;;;;;;;;;x
EVTDESC9203;It is clearly a sign of weakness and decadence that we are letting our tribe fall into a long period of peace. Clearly $DYNASTY$ is no longer fit to rule $COUNTRY$ anymore. A new heir would be a bit more acceptable.;Notre tribu est en paix depuis trop longtemps, ce qui est un signe de faiblesse et de décadence. La maison $DYNASTY$ n’est plus digne de diriger $COUNTRY$. Un nouvel héritier serait le bienvenu.;Es ist sicher ein Zeichen der Schwäche und der Dekadenz dass wir es zulassen, unseren Stamm so lange in Frieden leben zu lassen. $DYNASTY$ ist eindeutig nicht länger fähig, $COUNTRY$ zu regieren. Ein neuer Thronfolger wäre ein wenig akzeptabler.;;Que dejemos que nuestra tribu caiga en un largo período de paz es un claro síntoma de debilidad y decadencia. Es evidente que $DYNASTY$ ya no sirve para gobernar $COUNTRY$. Un nuevo heredero sería algo más aceptable.;;;;;;;;;x
EVTOPTA9203;Off With $HEIR_CAP_ADJ$ Head!;Coupez la tête de $HEIR_CAP_ADJ$ !;$HEIR_CAP_ADJ$ Kopf muss ab!;;¡Cortadle la cabeza a $HEIR_CAP_ADJ$!;;;;;;;;;x
EVTOPTB9203;My word is the law!;Mes paroles font loi !;Mein Wort ist Gesetz!;;¡Mi palabra es ley!;;;;;;;;;x
EVTNAME9204;The tribe is losing respect for $DYNASTY$;La tribu respecte de moins en moins les $DYNASTY$;Der Stamm verliert den Respekt vor $DYNASTY$;;La tribu está perdiendo el respeto a $DYNASTY$;;;;;;;;;x
EVTDESC9204;With the lack of a proper heir, and no battles to fight, the clansmen of $COUNTRY$ is spending way too much time considering if the house of $DYNASTY$ is truly a proper house to lead the $COUNTRY_ADJ$ forces.;En l’absence d’héritier digne de ce nom et de batailles à livrer, les membres des clans de $COUNTRY$ passent bien trop de temps à se demander si la maison des $DYNASTY$ est bien celle qui convient pour diriger les forces $COUNTRY_ADJ$.;Ohne einen rechtmäßigen Thronfolger und keinen Schlachten zu schlagen verbringen die Stammesbrüder in $COUNTRY$ viel zu viel Zeit damit darüber nachzudenken, ob $DYNASTY$ wirklich das richtige Haus ist, um die Truppen von $COUNTRY_ADJ$ zu führen.;;Al no haber un heredero adecuado, ni batallas por luchar, los miembros de los clanes de $COUNTRY$ pierden demasiado tiempo pensando en si la casa de $DYNASTY$ es la adecuada para dirigir las fuerzas de $COUNTRY_ADJ$.;;;;;;;;;x
