HEADER_MISSION_REMOVE;Decisions;Décisions;Entscheidungen;;Decisiones;;;;;;;;;x;
MODIFIER_COLONIAL_GROWTH;Global Colonial Growth;Croissance coloniale mondiale;Globales Kolonialwachstum;;Crecimiento colonial global;;;;;;;;;x;
MODIFIER_LOCAL_COLONIAL_GROWTH;Local Colonial Growth;Croissance coloniale locale;Lokales Kolonialwachstum;;Crecimiento colonial local;;;;;;;;;x;
press_gangs;Press Gangs;Enrôleurs;Zwangsrekrutierung;;Bandas de reclutadores;;;;;;;;;x;
vetting;Vetting;Contrôle;Sicherheitsüberprüfungen;;Examen previo;;;;;;;;;x;
ecumenism;Ecumenism;Œcuménisme;Ökumene;;Ecumenismo;;;;;;;;;x;
land_of_opportunity;Land of Opportunity;Terre d’opportunités;Land der Möglichkeiten;;Tierra de oportunidades;;;;;;;;;x;
regimental_system;Regimental System;Système de recrutement;Regimentsystem;;Sistema regimental;;;;;;;;;x;
press_gangs_desc;Life at sea is hard and unforgiving and not everyone is keen on a career in the Navy. By legalising the impressment of men of seafaring habits, it will be easier to crew our ships speeding up the process of commissioning ships.;La vie en mer est dure, impitoyable et faire carrière dans la marine n’est pas donné à tous. En légalisant l'enrôlement de force des marins, il sera plus facile de trouver des équipages, ce qui accélérera le processus d’armement de navires.;Das Leben auf See ist hart und nicht jeder ist auf eine Karriere bei der Flotte erpicht. Durch die Legalisierung der Zwangsrekrutierung von Männern mit Seefahrtserfahrung wird es einfacher sein, unsere Schiffe zu bemannen, was die Zeit verkürzen wird, unsere Schiffe in Dienst zu stellen.;;La vida en el mar es dura e implacable y no todo el mundo está dispuesto a hacer carrera en la Armada. Si legalizamos la requisición de hombres con costumbres de vida marineras, será más fácil dotar de tripulación a nuestros barcos, acelerando así el proceso de puesta en servicio de barcos.;;;;;;;;;x;
vetting_desc;With so many offices for profit, we sometimes find that those who run our administration are susceptible to bribes from foreign powers. A few simple background checks will weed up the most likely.;Avec autant de riches bureaux, nous nous rendons parfois compte que ceux qui gèrent notre administration sont susceptibles d’être soudoyés par les puissances étrangères. Quelques vérifications devraient permettre d’en savoir plus.;Mit so vielen Stellen für Profit finden wir manchmal, das jene, die unsere Administration führen, für die Bestechungen anderer Mächte anfällig sind. Einige einfache Hintergrundüberprüfungen werden die offensichtlichsten ausschalten.;;Con tantos cargos, a veces nos encontramos con que aquellos que dirigen nuestra administración son susceptibles a sobornos por parte de potencias extranjeras. Con una sencilla inspección de los antecedentes se erradicará a los más susceptibles.;;;;;;;;;x;
ecumenism_desc;The problem with how to deal with heretics in the realm is always difficult. Although the good old-fashioned fire and sword approach will solve most problems eventually, diplomacy can also succeed. By encouraging dialogue between the various sects we can reduce misunderstanding and promote peace in the realm. ;La manière de gérer les hérétiques du royaume demeure une question épineuse. Bien que la bonne vieille méthode du fer et du feu permette de régler la plupart des problèmes, la diplomatie peut, elle aussi, payer. En encourageant le dialogue entre les différentes sectes, nous réduirons les malentendus et favoriserons la paix au sein du royaume. ;Das Problem, wie man mit Häretikern im eigenen Reich umgehen soll, ist immer ein schwieriges. Obwohl die gute alte Feuer-und-Schwert Methode die meisten Probleme schlussendlich lösen wird, kann auch Diplomatie erfolgreich sein. Durch den Dialog zwischen den verschiedenen Sekten können wir Missverständnisse ausräumen und den Frieden im Reich aufrechterhalten.;;El problema de cómo ocuparse de la herejía en el reino siempre es complicado. Aunque el clásico y efectivo a sangre y fuego acabará por resolver la mayoría de los problemas, la diplomacia también puede servir. Alentando el diálogo entre las diversas sectas, podemos reducir los conflictos y fomentar la paz en el reino. ;;;;;;;;;x;
land_of_opportunity_desc;By portraying colonial lands and new virgin territory where any man can make his fortune, possibly some women too, people will emigrate quicker to the colonies. Meaning the nation will have spent less money encouraging people to go there. ;En présentant les terres coloniales et les territoires vierges comme des endroits où les hommes, voire les femmes, peuvent faire fortune, les candidats à l’émigration y seront plus nombreux. Ainsi, la nation dépensera moins d’argent pour inciter les gens à s’y rendre. ;Durch die Darstellung von Kolonien als jungfräuliche Gebiete, wo jeder Mann, und vielleicht auch einige Frauen, zu Reichtum kommen kann, werden die Menschen schneller in die Kolonien emigrieren. Das bedeutet, das wir weniger Geld ausgeben müssen, um die Leute dazu zu bewegen.;;Con el retrato de tierras coloniales y un nuevo territorio virgen en el que cualquier hombre puede hacer fortuna, posiblemente también algunas mujeres, la gente emigrará con mayor rapidez a las colonias. Lo que significa que la nación se habrá gastado menos dinero en animar a la gente a marcharse allí. ;;;;;;;;;x;
regimental_system_desc;By organising our armies into regiments tied to distinct geographical areas we can allow the army to put down roots into the community. Thus when we come to raise more battalions for our regiments they will be able to be recruited faster. ;En organisant nos forces en régiments liés à des zones géographiques distinctes, nous permettrons à l’armée de s’enraciner dans la communauté. Ainsi, le moment venu, elle pourra former plus rapidement de nouveaux bataillons pour nos régiments. ;Durch die Organisation unserer Armeen in Regimentern, die an bestimmte geographische Gebiete gebunden sind erlauben wir der Armeen, Wurzeln in die Gesellschaft zu schlagen. So werden sie, wenn wir kommen und mehr Battalione für unsere Regimenter ausheben, schneller rekrutiert werden.;;Al organizar a nuestros ejércitos en regimientos vinculados a las diferentes zonas geográficas podemos dejar que el ejército eche raíces en la comunidad. Así, cuando tengamos que formar batallones para nuestros regimientos, será posible reclutarlos más deprisa. ;;;;;;;;;x;
MULTCITYSIZE;Population in $WHERE$ changed by $PERC$.\n;La population de $WHERE$ a évolué de $PERC$.\n;Bevölkerung in $WHERE$ geändert um $PERC$.\n;;La población de $WHERE$ ha cambiado en un $PERC$.\n;;;;;;;;;x;
VARIABLE;Variable ;Variable ;Variable ;;Variable ;;;;;;;;;x;
IS_GREATER_THAN; is greater than ; est supérieur(e) à  ; ist größer als ;; es mayor que ;;;;;;;;;x;
IS_EQUAL_OR_LESS_THAN; is equal to or less than ; est égal(e) ou inférieur(e) à  ; ist gleich groß oder geringer als ;; es igual o menor que ;;;;;;;;;x;
IS_NOT_OVERSEAS; is not overseas; n’est pas outre-mer; ist nicht in Übersee;; no está en ultramar;;;;;;;;;x;
IS_OVERSEAS; is overseas; est outre-mer; ist in Übersee;; está en ultramar;;;;;;;;;x;
RANDOM_EFFECT;§Y$CHANCE$§W% chance of ;§Y$CHANCE$§W% de chances de  ;$CHANCE$% Chance auf \n;;Probabilidad del §Y$CHANCE$§W% de ;;;;;;;;;x;
RANDOM_LIST_EFFECT;One of §Y$SIZE$§W options will happen.\n;Une des §Y$SIZE$§W options se produira.\n;eine von $SIZE$ Optionen wird eintreten.\n;;Tendrá lugar una de las §Y$SIZE$§W opciones.\n;;;;;;;;;x;
COUNTRY_DECISIONS;National Decisions;Décisions nationales;Nationale Entscheidungen;;Decisiones nacionales;;;;;;;;;x;
ACTIVE_MISSION;Current Mission;Mission actuelle;Derzeitige Mission;;Misión actual;;;;;;;;;x;
PROV_DECISION_NO_POTENTIAL;We currently have no decisions to make in this province;Nous n’avons actuellement aucune décision à prendre dans cette province;Wir haben derzeit keine Entscheidungen in dieser Provinz zu treffen;;Actualmente no tenemos decisiones que tomar en esta provincia.;;;;;;;;;x;
PROV_DECISION_BUTTON;Provincial Decisions;Décisions provinciales;Provinzentscheidungen;;Decisiones provinciales;;;;;;;;;x;
RELIGIOUS_DECISIONS;Religious Decisions;Décisions religieuses;Religionsentscheidungen;;Decisiones religiosas;;;;;;;;;x;
REBEL_FACTIONS;Rebel Factions;Factions rebelles;Rebellenfraktionen;;Facciones rebeldes;;;;;;;;;x;
ANY_PROVINCE_STARTS;Any owned province;Provinces possédées;Jede Provinz in Besitz;;Cualquier provincia poseída;;;;;;;;;x;
EFFECT_AND;...and;...et;…und;;... y;;;;;;;;;x;
EFFECT_MORE;more.;plus.;mehr.;;más.;;;;;;;;;x;
SET_FORCE_CONVERTED;Set Force Converted;Définir la conversion par la force;Setze Zwangskonvertiert;;Establecer conversión por la fuerza;;;;;;;;;x;
FORCE_CONVERTED;Is force converted;Fait l’objet d’une conversion forcée;Ist zwangskonvertiert;;Se convierte por la fuerza;;;;;;;;;x;
NOT_FORCE_CONVERTED;Is not force converted;Ne fait pas l’objet d’une conversion forcée;Ist nicht zwangskonvertiert;;No se convierte por la fuerza;;;;;;;;;x;
heresy;Heresy;Hérésie;Irrglaube;;Herejía;;;;;;;;;x;
desc_heresy;Heresy has spread like a cancer throughout the province.;L’hérésie s’est propagée comme la peste dans la province.;Ein Irrglaube hat sich wie ein Krebsgeschwür in der Provinz ausgebreitet.;;La herejía se ha extendido como una plaga por la provincia.;;;;;;;;;x;
forced_conversion;Forced Conversion;Conversion forcée;Zwangskonvertierung;;Conversión por la fuerza;;;;;;;;;x;
desc_forced_conversion;Religious fanatics have forcibly converted this province to their faith, those who would not submit killed or driven from their homes.;Les religieux fanatiques ont converti, par la force, cette province ; ceux qui ont refusé de se soumettre ont été tués ou chassés de chez eux.;Religiöse Fanatiker haben diese Provinz mit Gewalt zu ihrem Glauben konvertiert, jene die sich dagegen stellten wurden vertrieben oder getötet.;Los fanáticos religiosos han convertido por la fuerza esta provincia a su doctrina, matando o echando de sus casas a los que no se han sometido;Los fanáticos religiosos han convertido por la fuerza esta provincia a su doctrina, matando o echando de sus casas a los que no se han sometido;;;;;;;;;x
tax_revolt;Tax Revolt;Révolte fiscale;Steuerrevolte;;Revuelta por impuestos;;;;;;;;;x;
